,admission_year,N,Early_PT,Early_PT_N
0,2009,3978,0.15887380593262945,632
1,2010,865,0.09595375722543352,83
2,2011,615,0.0975609756097561,60
3,2012,4729,0.15690420807781771,742
4,2013,955,0.1130890052356021,108
5,2014,708,0.10451977401129943,74
6,2015,5556,0.14830813534917206,824
7,2016,1119,0.10723860589812333,120
8,2017,862,0.1368909512761021,118
9,2018,5426,0.17416144489495025,945
10,2019,1096,0.12682481751824817,139
11,2020,844,0.1386255924170616,117
12,2021,4418,0.14305115436849253,632
13,2022,615,0.11707317073170732,72
14,2023,208,0.10096153846153846,21
15,2024,15,0.0,0
