name,description,covariate,covariate_sensitivity,comments
encounter_block,Identifier,0,0,
age,Age (years),1,1,
sex_category,Sex,1,1,
mimic_race,Race/Ethnicity (MIMIC),1,1,
weight_kg,Weight (kg),1,1,
insurance,Insurance Type,1,1,
language,Language,1,1,
elixhauser,Elixhauser Comorbidity Index,0,0,
elixhauser_age_adj,Elixhauser Comorbidity Index (Age Adjusted),1,1,
admission_type_category,Admission Type Category,0,0,
admission_osh,Transfer from Outside Hospital,0,0,
adm_to_imv_hours,Length of Stay at the Time of IMV Initiation (hours),0,0,
icu_to_imv_hours,Time from ICU Admission to IMV Initiation (hours),0,0,
ICU_type,Type of ICU,1,1,
admission_year,Year of admission,0,0,
resp_rate_0_24h_max,Max Respiratory Rate (0-24 hours) (breaths/min),0,0,
resp_rate_0_4h_max,Max Respiratory Rate (0-4 hours) (breaths/min),0,0,
fio2_set_0_24h_mean,Mean FiO2 (0-24 hours) (%),0,0,
fio2_set_0_4h_mean,Mean FiO2 (0-4 hours) (%),0,1,
peep_set_0_24h_mean,Mean PEEP (0-24 hours) (cm H2O),0,0,
peep_set_0_4h_mean,Mean PEEP (0-4 hours) (cm H2O),0,1,
hr_0_24h_mean,Mean Heart Rate (0-24 hours) (beats/min),0,0,
hr_0_4h_mean,Mean Heart Rate (0-4 hours) (beats/min),0,0,
map_0_24h_mean,Mean MAP (0-24 hours) (mmHg),0,0,
map_0_4h_mean,Mean MAP (0-4 hours) (mmHg),0,1,
pressor_0_4h,Vasopressor use (0-4 hours),0,1,
sofa_0_24h,SOFA Score (0-24 hours),0,0,
sofa_0_4h,SOFA Score (0-4 hours),0,1,
sofa_-20_4h,SOFA Score (-20-4 hours),0,1,
RASS_0_24h_min,Minimum RASS (0-24 hours),0,0,
gcs_0_24h_min,Minimum Glasgow Coma Scale (0-24 hours),0,0,
coma_0_24h,Hours of oversedation (0-24 hours),0,0,
cam_icu_0_24h_max,CAM-ICU Positive (0-24 hours),0,0,
paralytics_0_24h,Paralytics for 4 hours (0-24 hours),0,0,
braden_0_24h_max,Max Braden Mobility Scale (0-24 hours),0,0,
braden_last,Max Braden Mobility Scale (-24 hours ICU discharge),0,0,
Time_first_PT,Time to First PT Order after IMV (hours),0,0,
pt_ever,PT order ever after IMV,0,0,
pt_post48_IMV,PT order withint 48 hours after IMV,0,0,
pt_between_ICU_IMV,PT order placed after IMV but before ICU admission,0,0,
pt_pre24_IMV,PT order within 24 hours prior to IMV,0,0,Exclude this group
yellow_time_eligibility,Time to Yellow Eligibility after IMV (hours),0,0,
yellow_time_eligibility_2h,Time to Yellow Eligibility (2 hours) after IMV (hours),0,0,
yellow_0_24h,Hours of Yellow Eligibility (0-24 hours),0,0,
yellow_24_48h,Hours of Yellow Eligibility (24-48 hours),0,0,
yellow_48_72h,Hours of Yellow Eligibility (48-72 hours),0,0,
yellow_2h_0_72h,Two Consecutive Hours of Eligibility (0-72 hours),0,0,Subgroup analysis
yellow_ever,Yellow Eligibility Ever,0,0,
yellow_post48_IMV,Yellow Eligibility within 48 hours after IMV,0,0,
extubated_at_pt,Extubated at the Time of PT Order,0,0,
imv_to_end_hours,IMV to Extubation (hours),0,0,
vent_free_days,Ventilator Free Days (28-day),0,0,Primary outcome
intubation_count,Total intubation count during hospitalization,0,0,
reintubation,Reintubation Rate,0,0,
adm_to_discharge_days,Overall Hospital Length of Stay (days),0,0,
imv_to_discharge_days,Post-IMV Hospital Length of Stay (days),0,0,
discharge_category,Discharge Disposition,0,0,
icu_los_days,ICU Length of Stay (days),0,0,Secondary outcome
icu_readmission,ICU Readmission,0,0,
is_dead,Overall Mortality,0,0,
is_dead_hosp,Hospital Mortality,0,0,Secondary outcome
is_dead_30,30-day Mortality,0,0,Secondary outcome
is_dead_365,1-year Mortality,0,0,Secondary outcome
imv_to_death_days,IMV to Death (days),0,0,
