criterion,prop_hours_failed,encounters_never_met,encounter_failure_rate,total_failed_encounters,criteria_name,site_name,total_encounters,failed_encounters
paralytics_flag,0.9812472188672049,1943,0.845885938180235,2297,Green,mimic,32117,2297
hourly_trach,0.6718651777452871,2118,0.9220722681758816,2297,Green,mimic,32117,2297
green_peep_flag,0.38836268090606657,204,0.08881149325206791,2297,Green,mimic,32117,2297
green_map_flag,0.31910099661672986,165,0.0718328254244667,2297,Green,mimic,32117,2297
green_fio2_flag,0.3168831535750358,562,0.24466695690030474,2297,Green,mimic,32117,2297
green_lactate_flag,0.2401132936381808,385,0.1676099259904223,2297,Green,mimic,32117,2297
green_resp_rate_flag,0.16202261634846976,16,0.006965607313887679,2297,Green,mimic,32117,2297
green_pulse_flag,0.09964754659942505,28,0.012189812799303439,2297,Green,mimic,32117,2297
green_resp_spo2_flag,0.09108695498626208,71,0.03090988245537658,2297,Green,mimic,32117,2297
green_hr_flag,0.009591817995606693,2,0.0008707009142359599,2297,Green,mimic,32117,2297
