,hourly_failure_rate,encounter_failure_rate,encounters_affected
green_resp_spo2_flag,2.5942440210782327,0.796812749003984,2.0
green_resp_rate_flag,5.887717875962708,0.398406374501992,1.0
green_fio2_flag,44.47709768950142,18.725099601593627,47.0
green_peep_flag,30.370895824888528,5.179282868525896,13.0
green_map_flag,11.096473449533848,1.593625498007968,4.0
green_pulse_flag,7.428050263477909,0.398406374501992,1.0
green_lactate_flag,10.498581272800973,4.780876494023905,12.0
green_hr_flag,0.6080259424402107,0.398406374501992,1.0
all_green_no_red,98.67247669233888,98.00796812749005,246.0
hourly_trach,100.0,100.0,251.0
paralytics_flag,99.46291041751115,96.41434262948208,242.0
