combination_signature,encounter_count,proportion_of_failed,criteria_name,site_name,total_failed_encounters,patel_map_flag,patel_sbp_flag,patel_pulse_flag,patel_resp_rate_flag,patel_spo2_flag,patel_resp_flag,patel_cardio_flag,hourly_trach,paralytics_flag
patel_map_flag:1|patel_sbp_flag:0|patel_pulse_flag:0|patel_resp_rate_flag:0|patel_spo2_flag:0|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,167,0.174321503131524,Patel,mimic,958,True,False,False,False,False,True,True,True,True
patel_map_flag:1|patel_sbp_flag:0|patel_pulse_flag:1|patel_resp_rate_flag:1|patel_spo2_flag:1|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,152,0.15866388308977036,Patel,mimic,958,True,False,True,True,True,True,True,True,True
patel_map_flag:1|patel_sbp_flag:0|patel_pulse_flag:0|patel_resp_rate_flag:0|patel_spo2_flag:1|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,113,0.11795407098121086,Patel,mimic,958,True,False,False,False,True,True,True,True,True
patel_map_flag:1|patel_sbp_flag:0|patel_pulse_flag:1|patel_resp_rate_flag:0|patel_spo2_flag:1|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,110,0.11482254697286012,Patel,mimic,958,True,False,True,False,True,True,True,True,True
patel_map_flag:1|patel_sbp_flag:0|patel_pulse_flag:1|patel_resp_rate_flag:0|patel_spo2_flag:0|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,82,0.08559498956158663,Patel,mimic,958,True,False,True,False,False,True,True,True,True
patel_map_flag:1|patel_sbp_flag:0|patel_pulse_flag:1|patel_resp_rate_flag:1|patel_spo2_flag:0|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,77,0.08037578288100208,Patel,mimic,958,True,False,True,True,False,True,True,True,True
patel_map_flag:1|patel_sbp_flag:0|patel_pulse_flag:0|patel_resp_rate_flag:1|patel_spo2_flag:1|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,55,0.05741127348643006,Patel,mimic,958,True,False,False,True,True,True,True,True,True
patel_map_flag:1|patel_sbp_flag:0|patel_pulse_flag:0|patel_resp_rate_flag:1|patel_spo2_flag:0|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,45,0.04697286012526096,Patel,mimic,958,True,False,False,True,False,True,True,True,True
patel_map_flag:0|patel_sbp_flag:0|patel_pulse_flag:0|patel_resp_rate_flag:0|patel_spo2_flag:0|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,43,0.04488517745302714,Patel,mimic,958,False,False,False,False,False,True,True,True,True
patel_map_flag:1|patel_sbp_flag:1|patel_pulse_flag:1|patel_resp_rate_flag:1|patel_spo2_flag:1|patel_resp_flag:1|patel_cardio_flag:1|hourly_trach:1|paralytics_flag:1,15,0.015657620041753653,Patel,mimic,958,True,True,True,True,True,True,True,True,True
