,hourly_failure_rate,encounter_failure_rate,encounters_affected
patel_map_flag,29.87582176771366,2.083333333333333,2.0
patel_sbp_flag,0.0,0.0,0.0
patel_pulse_flag,4.7479912344777215,2.083333333333333,2.0
patel_resp_rate_flag,23.9590942293645,8.333333333333332,8.0
patel_spo2_flag,3.9444850255661064,1.0416666666666665,1.0
patel_resp_flag,90.65010956902849,71.875,69.0
patel_cardio_flag,93.57195032870709,87.5,84.0
patel_flag,99.7808619430241,97.91666666666666,94.0
hourly_trach,100.0,100.0,96.0
paralytics_flag,99.92695398100804,98.95833333333334,95.0
