Metric,Value
A_after_date_age_filter,546028
A_after_age_filter,546028
B_before_stitching,546028
B_after_stitching,536363
B_stitched_hosp_ids,9665
C_imv_hospitalizations,35161
C_imv_encounter_blocks,35150
D_hospitalizations_with_valid_vent,35138
D_hospitalizations_with_same_vent_start_end,23
D_blocks_with_valid_vent,35127
D_blocks_with_same_vent_start_end,23
E_blocks_with_vent_end_before_vital_start,12
G_blocks_with_vent_4_or_more,33185
G_blocks_with_vent_less_than_4,1930
G_final_blocks_with_trach_at_intubation,1068
G_final_blocks_without_trach_at_intubation,32117
final_blocks_with_vitals,32117
final_blocks_with_norepi_eq,19531
final_blocks_with_red_meds,2824
final_blocks_with_paralytics,1723
final_blocks_with_lactate_lab,29324
