device_category,mode_category,variable,N,missing,min,q25,median,q75,mean,max
cpap,assist control-volume control,fio2_set,2,2,0.7,0.75,0.8,0.85,0.8,0.9
cpap,other,fio2_set,45,331,0.21,0.4,0.6,0.7,0.614,1.0
cpap,pressure support/cpap,fio2_set,179,16,0.21,0.4,0.5,0.7,0.5779888268156425,1.0
cpap,simv,fio2_set,1,0,0.35,0.35,0.35,0.35,0.35,0.35
face mask,assist control-volume control,fio2_set,34,1,0.35,0.4,0.5,1.0,0.6338235294117647,1.0
face mask,other,fio2_set,47,12,0.35,0.4,0.5,0.85,0.6127659574468085,1.0
face mask,pressure support/cpap,fio2_set,476,26,0.3,0.4,0.475,0.5,0.46619747899159664,1.0
face mask,pressure-regulated volume control,fio2_set,19,0,0.35,0.4,0.5,1.0,0.65,1.0
face mask,simv,fio2_set,3,0,0.35,0.425,0.5,0.5,0.45,0.5
face mask,volume support,fio2_set,1,0,0.4,0.4,0.4,0.4,0.4,0.4
high flow nc,assist control-volume control,fio2_set,3,0,0.5,0.5,0.5,0.5,0.5,0.5
high flow nc,other,fio2_set,29,1,0.3,0.5,0.6,1.0,0.7034482758620689,1.0
high flow nc,pressure support/cpap,fio2_set,42,2,0.3,0.5,0.6,0.8,0.6428571428571429,1.0
high flow nc,pressure-regulated volume control,fio2_set,13,0,0.5,0.9,1.0,1.0,0.8923076923076922,1.0
imv,assist control-volume control,fio2_set,141912,1417,0.21,0.4,0.5,0.5,0.5136016686397205,1.0
imv,other,fio2_set,23706,296,0.21,0.3,0.4,0.5,0.416387412469417,1.0
imv,pressure control,fio2_set,9627,112,0.21,0.4,0.5,0.6,0.5130258647553755,1.0
imv,pressure support/cpap,fio2_set,263384,3069,0.2,0.4,0.4,0.5,0.41466732983020993,1.0
imv,pressure-regulated volume control,fio2_set,129930,1104,0.21,0.4,0.5,0.55,0.5013917494035249,1.0
imv,simv,fio2_set,11880,163,0.21,0.4,0.4,0.5,0.43270622895622896,1.0
imv,volume support,fio2_set,2415,18,0.21,0.35,0.4,0.4,0.4053002070393375,1.0
nasal cannula,assist control-volume control,fio2_set,51,4,0.35,0.5,0.5,1.0,0.6813725490196079,1.0
nasal cannula,other,fio2_set,13,121,0.28,0.35,0.4,0.5,0.44461538461538463,1.0
nasal cannula,pressure support/cpap,fio2_set,110,74,0.28,0.4,0.4,0.5,0.4661818181818182,1.0
nasal cannula,pressure-regulated volume control,fio2_set,24,1,0.4,0.5,0.6,1.0,0.6875,1.0
nasal cannula,simv,fio2_set,2,2,0.3,0.475,0.65,0.825,0.65,1.0
nippv,assist control-volume control,fio2_set,54,1,0.21,0.3,0.4,0.5,0.47444444444444445,1.0
nippv,other,fio2_set,2593,7571,0.21,0.4,0.5,0.7,0.5544195912070959,1.0
nippv,pressure control,fio2_set,42,1,0.25,0.35,0.35,0.5,0.4547619047619048,1.0
nippv,pressure support/cpap,fio2_set,4420,221,0.21,0.4,0.5,0.6,0.5439886877828054,1.0
nippv,pressure-regulated volume control,fio2_set,7,0,0.25,0.4,0.4,0.7,0.55,1.0
nippv,simv,fio2_set,59,6,0.24,0.35,0.4,0.55,0.4593220338983051,1.0
other,assist control-volume control,fio2_set,58,3,0.4,0.4,0.5,0.575,0.5603448275862069,1.0
other,other,fio2_set,170,40,0.21,0.4,0.5,0.6,0.5395882352941177,1.0
other,pressure control,fio2_set,3,0,0.5,0.5,0.5,0.65,0.6,0.8
other,pressure support/cpap,fio2_set,763,35,0.21,0.4,0.5,0.6,0.5452817824377457,1.0
other,pressure-regulated volume control,fio2_set,24,0,0.3,0.5,0.5,0.6,0.5583333333333333,1.0
other,simv,fio2_set,15,0,0.28,0.3,0.4,0.5,0.43200000000000005,1.0
trach collar,assist control-volume control,fio2_set,74,7,0.3,0.4,0.4,0.5,0.4864864864864865,1.0
trach collar,other,fio2_set,6,6,0.4,0.4,0.4,0.4,0.4166666666666667,0.5
trach collar,pressure control,fio2_set,2,0,0.21,0.2575,0.305,0.35250000000000004,0.305,0.4
trach collar,pressure support/cpap,fio2_set,289,8,0.3,0.4,0.4,0.5,0.44186851211072664,1.0
trach collar,pressure-regulated volume control,fio2_set,23,1,0.3,0.4,0.4,0.5,0.4934782608695652,1.0
trach collar,simv,fio2_set,14,0,0.35,0.4,0.4,0.4,0.4107142857142857,0.5
trach collar,volume support,fio2_set,5,0,0.35,0.4,0.4,0.4,0.39,0.4
cpap,assist control-volume control,peep_set,4,0,5.0,5.0,6.5,9.0,7.5,12.0
cpap,other,peep_set,258,118,0.0,5.0,8.5,10.0,8.937984496124031,22.0
cpap,pressure support/cpap,peep_set,177,18,0.0,5.0,5.0,8.0,6.8559322033898304,15.0
cpap,simv,peep_set,1,0,5.0,5.0,5.0,5.0,5.0,5.0
face mask,assist control-volume control,peep_set,34,1,0.0,5.0,5.0,5.0,5.676470588235294,10.0
face mask,other,peep_set,42,17,0.0,5.0,5.0,8.0,5.928571428571429,14.0
face mask,pressure support/cpap,peep_set,411,91,0.0,5.0,5.0,5.0,4.35279805352798,12.0
face mask,pressure-regulated volume control,peep_set,19,0,5.0,5.0,5.0,6.5,5.894736842105263,10.0
face mask,simv,peep_set,1,2,5.0,5.0,5.0,5.0,5.0,5.0
face mask,volume support,peep_set,1,0,0.0,0.0,0.0,0.0,0.0,0.0
high flow nc,assist control-volume control,peep_set,3,0,5.0,5.0,5.0,5.0,5.0,5.0
high flow nc,other,peep_set,25,5,0.0,5.0,5.0,8.0,6.64,15.0
high flow nc,pressure support/cpap,peep_set,40,4,0.0,5.0,5.0,7.0,5.575,10.0
high flow nc,pressure-regulated volume control,peep_set,13,0,5.0,5.0,10.0,10.0,9.538461538461538,15.0
imv,assist control-volume control,peep_set,141872,1457,0.0,5.0,5.0,10.0,7.588256498815833,85.0
