Characteristics,Category,All Encounters,Patel Criteria,TEAM Criteria,Yellow Criteria,Green Criteria,Green-No-Red Criteria
n,,32127,31169,30359,31130,29880,29830
n,,32127,31169,30359,31130,29880,29830
"sex_category, n (%)",Female,12514 (39.0),12079 (38.8),11754 (38.7),12069 (38.8),11544 (38.6),11523 (38.6)
"sex_category, n (%)",Male,19613 (61.0),19090 (61.2),18605 (61.3),19061 (61.2),18336 (61.4),18307 (61.4)
"race_new, n (%)",Black,2852 (8.9),2757 (8.8),2680 (8.8),2761 (8.9),2637 (8.8),2634 (8.8)
"race_new, n (%)",Other,8421 (26.2),8122 (26.1),7828 (25.8),8107 (26.0),7675 (25.7),7661 (25.7)
"race_new, n (%)",White,20854 (64.9),20290 (65.1),19851 (65.4),20262 (65.1),19568 (65.5),19535 (65.5)
"ethnicity_category, n (%)",Hispanic,1170 (3.6),1150 (3.7),1120 (3.7),1152 (3.7),1100 (3.7),1100 (3.7)
"ethnicity_category, n (%)",Non-Hispanic,24716 (76.9),24013 (77.0),23462 (77.3),23992 (77.1),23122 (77.4),23084 (77.4)
"ethnicity_category, n (%)",Unknown,6241 (19.4),6006 (19.3),5777 (19.0),5986 (19.2),5658 (18.9),5646 (18.9)
"location_category, n (%)",ed,59 (0.2),54 (0.2),53 (0.2),54 (0.2),51 (0.2),51 (0.2)
"location_category, n (%)",icu,31637 (98.5),30699 (98.5),29901 (98.5),30659 (98.5),29428 (98.5),29379 (98.5)
"location_category, n (%)",other,32 (0.1),32 (0.1),32 (0.1),32 (0.1),32 (0.1),32 (0.1)
"location_category, n (%)",procedural,152 (0.5),145 (0.5),139 (0.5),146 (0.5),139 (0.5),139 (0.5)
"location_category, n (%)",stepdown,46 (0.1),46 (0.1),46 (0.2),46 (0.1),45 (0.2),45 (0.2)
"location_category, n (%)",ward,201 (0.6),193 (0.6),188 (0.6),193 (0.6),185 (0.6),184 (0.6)
"is_dead, n (%)",0,25267 (78.6),25065 (80.4),24991 (82.3),25080 (80.6),24895 (83.3),24879 (83.4)
"is_dead, n (%)",1,6860 (21.4),6104 (19.6),5368 (17.7),6050 (19.4),4985 (16.7),4951 (16.6)
"age_at_admission, median [Q1,Q3]",,"66.0 [55.0,76.0]","66.0 [55.0,76.0]","66.0 [55.0,76.0]","66.0 [55.0,76.0]","66.0 [55.0,76.0]","66.0 [55.0,76.0]"
"sofa_cv_97, median [Q1,Q3]",,"1.0 [1.0,3.0]","1.0 [1.0,3.0]","1.0 [1.0,1.0]","1.0 [1.0,2.0]","1.0 [1.0,1.0]","1.0 [1.0,1.0]"
"sofa_coag, median [Q1,Q3]",,"0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]"
"sofa_renal, median [Q1,Q3]",,"0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]"
"sofa_liver, median [Q1,Q3]",,"0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]"
"sofa_resp, median [Q1,Q3]",,"0.0 [0.0,3.0]","0.0 [0.0,3.0]","0.0 [0.0,3.0]","0.0 [0.0,3.0]","0.0 [0.0,3.0]","0.0 [0.0,3.0]"
"sofa_cns, median [Q1,Q3]",,"0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]"
"sofa_total, median [Q1,Q3]",,"4.0 [3.0,6.0]","4.0 [3.0,6.0]","4.0 [2.0,6.0]","4.0 [3.0,6.0]","4.0 [2.0,6.0]","4.0 [2.0,6.0]"
"ne_calc_last, median [Q1,Q3]",,"0.1 [0.1,0.3]","0.1 [0.1,0.3]","0.1 [0.1,0.3]","0.1 [0.1,0.3]","0.1 [0.1,0.3]","0.1 [0.1,0.3]"
"max_peep_set, median [Q1,Q3]",,"5.0 [5.0,5.8]","5.0 [5.0,5.8]","5.0 [5.0,5.7]","5.0 [5.0,5.8]","5.0 [5.0,5.6]","5.0 [5.0,5.6]"
"min_fio2_set, median [Q1,Q3]",,"0.4 [0.4,0.5]","0.4 [0.4,0.5]","0.4 [0.4,0.5]","0.4 [0.4,0.5]","0.4 [0.4,0.5]","0.4 [0.4,0.5]"
Vasopressor Status,Received Vasopressors,18530 (57.7),17953 (57.6),17271 (56.9),17890 (57.5),16899 (56.6),16896 (56.6)
Vasopressor Status,No Vasopressors,886 (2.8),866 (2.8),865 (2.8),866 (2.8),856 (2.9),856 (2.9)
Vasopressor Status,Missing Vasopressor Data,12711 (39.6),12350 (39.6),12223 (40.3),12374 (39.7),12125 (40.6),12078 (40.5)
