Characteristics,Category,All Encounters,Patel Criteria,TEAM Criteria,Yellow Criteria,Green Criteria,Green-No-Red Criteria
n,,32127,31155,30120,31117,29079,29023
n,,32127,31155,30120,31117,29079,29023
"sex_category, n (%)",Female,12514 (39.0),12072 (38.7),11673 (38.8),12064 (38.8),11235 (38.6),11213 (38.6)
"sex_category, n (%)",Male,19613 (61.0),19083 (61.3),18447 (61.2),19053 (61.2),17844 (61.4),17810 (61.4)
"race_new, n (%)",Black,2852 (8.9),2756 (8.8),2649 (8.8),2761 (8.9),2541 (8.7),2538 (8.7)
"race_new, n (%)",Other,8421 (26.2),8117 (26.1),7751 (25.7),8100 (26.0),7425 (25.5),7409 (25.5)
"race_new, n (%)",White,20854 (64.9),20282 (65.1),19720 (65.5),20256 (65.1),19113 (65.7),19076 (65.7)
"ethnicity_category, n (%)",Hispanic,1170 (3.6),1148 (3.7),1107 (3.7),1151 (3.7),1065 (3.7),1065 (3.7)
"ethnicity_category, n (%)",Non-Hispanic,24716 (76.9),24004 (77.0),23293 (77.3),23984 (77.1),22541 (77.5),22498 (77.5)
"ethnicity_category, n (%)",Unknown,6241 (19.4),6003 (19.3),5720 (19.0),5982 (19.2),5473 (18.8),5460 (18.8)
"location_category, n (%)",ed,59 (0.2),54 (0.2),52 (0.2),54 (0.2),49 (0.2),49 (0.2)
"location_category, n (%)",icu,31637 (98.5),30685 (98.5),29665 (98.5),30646 (98.5),28639 (98.5),28584 (98.5)
"location_category, n (%)",other,32 (0.1),32 (0.1),31 (0.1),32 (0.1),31 (0.1),31 (0.1)
"location_category, n (%)",procedural,152 (0.5),145 (0.5),138 (0.5),146 (0.5),135 (0.5),135 (0.5)
"location_category, n (%)",stepdown,46 (0.1),46 (0.1),46 (0.2),46 (0.1),42 (0.1),42 (0.1)
"location_category, n (%)",ward,201 (0.6),193 (0.6),188 (0.6),193 (0.6),183 (0.6),182 (0.6)
"is_dead, n (%)",0,25267 (78.6),25058 (80.4),24852 (82.5),25075 (80.6),24349 (83.7),24330 (83.8)
"is_dead, n (%)",1,6860 (21.4),6097 (19.6),5268 (17.5),6042 (19.4),4730 (16.3),4693 (16.2)
"age_at_admission, median [Q1,Q3]",,"66.0 [55.0,76.0]","66.0 [55.0,76.0]","66.0 [55.0,76.0]","66.0 [55.0,76.0]","66.0 [55.0,76.0]","66.0 [55.0,76.0]"
"sofa_cv_97, median [Q1,Q3]",,"1.0 [1.0,3.0]","1.0 [1.0,3.0]","1.0 [1.0,1.0]","1.0 [1.0,2.0]","1.0 [1.0,1.0]","1.0 [1.0,1.0]"
"sofa_coag, median [Q1,Q3]",,"0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]"
"sofa_renal, median [Q1,Q3]",,"0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]"
"sofa_liver, median [Q1,Q3]",,"0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]","0.0 [0.0,0.0]"
"sofa_resp, median [Q1,Q3]",,"0.0 [0.0,3.0]","0.0 [0.0,3.0]","0.0 [0.0,3.0]","0.0 [0.0,3.0]","0.0 [0.0,3.0]","0.0 [0.0,3.0]"
"sofa_cns, median [Q1,Q3]",,"0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]","0.0 [0.0,1.0]"
"sofa_total, median [Q1,Q3]",,"4.0 [3.0,6.0]","4.0 [3.0,6.0]","4.0 [2.0,6.0]","4.0 [3.0,6.0]","4.0 [2.0,6.0]","4.0 [2.0,6.0]"
"ne_calc_last, median [Q1,Q3]",,"0.1 [0.0,0.2]","0.1 [0.0,0.1]","0.1 [0.0,0.1]","0.1 [0.0,0.1]","0.1 [0.0,0.1]","0.1 [0.0,0.1]"
"max_peep_set, median [Q1,Q3]",,"5.0 [5.0,5.0]","5.0 [5.0,5.0]","5.0 [5.0,5.0]","5.0 [5.0,5.0]","5.0 [5.0,5.0]","5.0 [5.0,5.0]"
"min_fio2_set, median [Q1,Q3]",,"0.8 [0.5,1.0]","0.8 [0.5,1.0]","0.8 [0.5,1.0]","0.8 [0.5,1.0]","0.7 [0.5,1.0]","0.7 [0.5,1.0]"
Vasopressor Status,Received Vasopressors,11491 (35.8),11061 (35.5),10487 (34.8),11008 (35.4),10006 (34.4),10006 (34.5)
Vasopressor Status,No Vasopressors,1933 (6.0),1891 (6.1),1848 (6.1),1893 (6.1),1798 (6.2),1798 (6.2)
Vasopressor Status,Missing Vasopressor Data,18703 (58.2),18203 (58.4),17785 (59.0),18216 (58.5),17275 (59.4),17219 (59.3)
