criterion,prop_hours_failed,encounters_never_met,encounter_failure_rate,total_failed_encounters,criteria_name,site_name,total_encounters,failed_encounters
red_hypertensive_flag,0.9998261171970092,993,0.995987963891675,997,Yellow,mimic,32117,997
paralytics_flag,0.9943198284356344,917,0.9197592778335005,997,Yellow,mimic,32117,997
red_pulse_high_flag,0.9915377035877818,892,0.8946840521564694,997,Yellow,mimic,32117,997
red_pulse_low_flag,0.9814235205471512,652,0.6539618856569709,997,Yellow,mimic,32117,997
yellow_map_flag,0.95899263896134,689,0.691073219658977,997,Yellow,mimic,32117,997
yellow_pulse_flag,0.9336057497246856,637,0.6389167502507522,997,Yellow,mimic,32117,997
yellow_resp_rate_flag,0.9182461021271663,571,0.5727181544633901,997,Yellow,mimic,32117,997
yellow_peep_flag,0.9172317857763868,786,0.7883650952858575,997,Yellow,mimic,32117,997
red_high_support_flag,0.9047412044282154,489,0.49047141424272817,997,Yellow,mimic,32117,997
red_resp_spo2_flag,0.8690662493479395,381,0.38214643931795383,997,Yellow,mimic,32117,997
yellow_fio2_flag,0.8060627137309453,299,0.29989969909729186,997,Yellow,mimic,32117,997
yellow_lactate_flag,0.7980930852605344,450,0.45135406218655966,997,Yellow,mimic,32117,997
red_map_flag,0.7589114936532777,157,0.15747241725175526,997,Yellow,mimic,32117,997
hourly_trach,0.380716397148322,876,0.8786359077231695,997,Yellow,mimic,32117,997
green_map_flag,0.2617805599026256,152,0.15245737211634905,997,Yellow,mimic,32117,997
green_lactate_flag,0.20506578566046485,200,0.20060180541624875,997,Yellow,mimic,32117,997
green_fio2_flag,0.19393728626905465,329,0.3299899699097292,997,Yellow,mimic,32117,997
green_resp_spo2_flag,0.12113835275024633,71,0.0712136409227683,997,Yellow,mimic,32117,997
yellow_resp_spo2_flag,0.12113835275024633,71,0.0712136409227683,997,Yellow,mimic,32117,997
green_peep_flag,0.08276821422361329,74,0.07422266800401203,997,Yellow,mimic,32117,997
green_resp_rate_flag,0.08175389787283371,12,0.012036108324974924,997,Yellow,mimic,32117,997
green_pulse_flag,0.07166869529936823,20,0.020060180541624874,997,Yellow,mimic,32117,997
green_hr_flag,0.01898220599316061,2,0.0020060180541624875,997,Yellow,mimic,32117,997
