primary_blocker,encounter_count,proportion,criteria_name,site_name
red_pulse_low_flag,274,0.2748244734202608,Yellow,mimic
red_map_flag,162,0.1624874623871615,Yellow,mimic
red_resp_spo2_flag,140,0.14042126379137412,Yellow,mimic
yellow_resp_rate_flag,57,0.05717151454363089,Yellow,mimic
green_map_flag,52,0.05215646940822467,Yellow,mimic
yellow_resp_spo2_flag,43,0.04312938816449348,Yellow,mimic
green_fio2_flag,40,0.04012036108324975,Yellow,mimic
yellow_pulse_flag,34,0.034102306920762285,Yellow,mimic
yellow_lactate_flag,32,0.0320962888665998,Yellow,mimic
red_pulse_high_flag,26,0.026078234704112337,Yellow,mimic
red_high_support_flag,25,0.025075225677031094,Yellow,mimic
hourly_trach,23,0.023069207622868605,Yellow,mimic
yellow_fio2_flag,17,0.017051153460381142,Yellow,mimic
green_pulse_flag,15,0.015045135406218655,Yellow,mimic
yellow_map_flag,15,0.015045135406218655,Yellow,mimic
yellow_peep_flag,14,0.014042126379137413,Yellow,mimic
paralytics_flag,12,0.012036108324974924,Yellow,mimic
green_resp_rate_flag,9,0.009027081243731194,Yellow,mimic
green_lactate_flag,4,0.004012036108324975,Yellow,mimic
green_peep_flag,2,0.0020060180541624875,Yellow,mimic
green_hr_flag,1,0.0010030090270812437,Yellow,mimic
