,hourly_failure_rate,encounter_failure_rate,encounters_affected
hourly_trach,100.0,100.0,83.0
red_map_flag,72.636815920398,54.21686746987952,45.0
red_high_support_flag,97.71144278606965,89.1566265060241,74.0
red_hypertensive_flag,100.0,100.0,83.0
red_pulse_high_flag,99.70149253731343,97.59036144578313,81.0
red_pulse_low_flag,97.2139303482587,86.74698795180723,72.0
yellow_resp_spo2_flag,6.567164179104477,2.4096385542168677,2.0
yellow_fio2_flag,83.5820895522388,56.62650602409639,47.0
yellow_resp_rate_flag,97.2139303482587,83.13253012048193,69.0
yellow_peep_flag,96.81592039800995,95.18072289156626,79.0
yellow_map_flag,98.30845771144278,90.36144578313254,75.0
yellow_pulse_flag,97.61194029850746,90.36144578313254,75.0
yellow_lactate_flag,92.23880597014926,90.36144578313254,75.0
green_resp_spo2_flag,6.567164179104477,2.4096385542168677,2.0
green_resp_rate_flag,2.7860696517412937,0.0,0.0
green_fio2_flag,16.417910447761194,15.66265060240964,13.0
green_peep_flag,3.1840796019900495,3.614457831325301,3.0
green_map_flag,16.517412935323385,4.819277108433735,4.0
green_pulse_flag,2.587064676616915,0.0,0.0
green_lactate_flag,7.761194029850746,4.819277108433735,4.0
green_hr_flag,2.7860696517412937,1.2048192771084338,1.0
any_red,65.97014925373135,50.602409638554214,42.0
any_yellow,87.86069651741293,68.67469879518072,57.0
any_green,86.86567164179104,67.46987951807229,56.0
all_green,93.33333333333333,84.33734939759037,70.0
all_green_no_red,99.70149253731343,97.59036144578313,81.0
all_green_no_red_yellow,100.0,100.0,83.0
all_yellow_no_red_green,100.0,100.0,83.0
any_yellow_no_red_green,100.0,100.0,83.0
any_yellow_or_green_no_red,99.70149253731343,97.59036144578313,81.0
yellow_resp_flag,99.70149253731343,97.59036144578313,81.0
yellow_cardio_flag,99.70149253731343,97.59036144578313,81.0
yellow_all_green,100.0,100.0,83.0
yellow_not_all_green,100.0,100.0,83.0
