,0
ne_calc_last,39.56471650527758
lactate,19.980072858610704
max_resp_rate_obs,0.3829747485755207
min_peep_set,0.10586293863063176
min_spo2,0.10274932278855435
min_fio2_set,0.02802254257869664
min_map,0.006227231684154809
max_sbp,0.006227231684154809
avg_map,0.006227231684154809
max_map,0.006227231684154809
max_heart_rate,0.0
min_heart_rate,0.0
any_red,0.0
any_yellow,0.0
any_green,0.0
all_green,0.0
all_green_no_red,0.0
all_green_no_red_yellow,0.0
all_yellow_no_red_green,0.0
any_yellow_no_red_green,0.0
any_yellow_or_green_no_red,0.0
yellow_all_green,0.0
yellow_not_all_green,0.0
