,,Overall,Early PT, No Early PT, P-value, Missing
N,,30154,3211,26943,,0.0%
Age (years) (Med & IQR),,66.0  (55.0 - 76.0),67.0  (57.0 - 76.0),66.0  (54.0 - 76.0),1e-05,0.0%
Sex
,Female,39.4%,38.5%,39.5%
,Male,60.6%,61.5%,60.5%, 0.28677,0.0%
Race/Ethnicity (MIMIC)
,Black/African American,8.9%,7.0%,9.1%
,Other,6.6%,6.4%,6.6%
,Missing,17.8%,18.8%,17.7%
,White,63.1%,64.2%,63.0%
,Hispanic/Latino,3.6%,3.6%,3.6%, 0.0019,0.0%
Weight (kg) (Med & IQR),,80.0  (67.8 - 95.2),80.05  (68.0 - 95.0),80.0  (67.7 - 95.2),0.59604,0.21%
Insurance Type
,Medicare,52.9%,53.8%,52.8%
,Medicaid,15.5%,12.8%,15.8%
,Private,26.6%,28.1%,26.5%
,None/Other,5.0%,5.3%,4.9%, 0.00012,0.0%
Language
,English,90.3%,90.9%,90.2%
,Spanish,3.2%,3.2%,3.2%
,Other,6.5%,5.9%,6.6%, 0.34645,0.0%
Elixhauser Comorbidity Index (Med & IQR),,12.0  (5.0 - 20.0),9.0  (4.0 - 17.0),12.0  (5.0 - 20.0),0.0,0.0%
Elixhauser Comorbidity Index (Age Adjusted) (Med & IQR),,14.0  (7.0 - 22.0),12.0  (6.0 - 19.0),14.0  (7.0 - 22.0),0.0,0.0%
Admission Source
,Observation,12.5%,12.1%,12.6%
,Surgery,11.8%,19.9%,10.8%
,Emergency/Urgent,66.7%,56.0%,67.9%
,Direct,9.0%,12.0%,8.6%, 0.0,0.0%
Length of Stay at the Time of IMV Initiation (hours) (Med & IQR),,8.0  (1.75 - 44.8),6.75  (1.72 - 30.77),8.23  (1.77 - 45.73),0.00088,0.0%
Time from ICU Admission to IMV Initiation (hours) (Med & IQR),,1.17  (0.13 - 3.8),1.15  (0.14 - 2.74),1.17  (0.12 - 4.01),0.0,0.08%
Type of ICU
,Medical ICU,30.3%,8.9%,32.8%
,Cardiac ICU,36.5%,49.6%,34.9%
,Surgical ICU,14.8%,11.0%,15.2%
,Other,18.5%,30.5%,17.0%, 0.0,0.08%
Year of admission (Med & IQR),,2015.0  (2012.0 - 2018.0),2015.0  (2012.0 - 2018.0),2015.0  (2012.0 - 2018.0),0.06345,0.0%
Max Respiratory Rate (0-24 hours) (breaths/min) (Med & IQR),,27.0  (23.0 - 31.0),26.0  (23.0 - 30.0),27.0  (23.0 - 31.0),0.0,0.11%
Max Respiratory Rate (0-4 hours) (breaths/min) (Med & IQR),,22.0  (19.0 - 26.0),21.0  (18.0 - 24.0),22.0  (19.0 - 26.0),0.0,0.68%
Mean FiO2 (0-24 hours) (%) (Med & IQR),,0.43  (0.4 - 0.5),0.43  (0.39 - 0.49),0.43  (0.4 - 0.5),0.0,1.31%
Mean FiO2 (0-4 hours) (%) (Med & IQR),,0.5  (0.41 - 0.55),0.5  (0.4 - 0.53),0.5  (0.41 - 0.55),0.0015,8.27%
Mean PEEP (0-24 hours) (cm H2O) (Med & IQR),,5.0  (5.0 - 6.71),5.0  (5.0 - 5.83),5.0  (5.0 - 6.88),0.0,0.28%
Mean PEEP (0-4 hours) (cm H2O) (Med & IQR),,5.0  (5.0 - 6.5),5.0  (5.0 - 5.0),5.0  (5.0 - 6.67),0.0,1.08%
Mean Heart Rate (0-24 hours) (beats/min) (Med & IQR),,83.08  (74.41 - 94.24),81.96  (74.76 - 91.41),83.26  (74.37 - 94.64),0.0,0.01%
Mean Heart Rate (0-4 hours) (beats/min) (Med & IQR),,82.29  (73.17 - 95.44),80.2  (72.91 - 90.25),82.6  (73.2 - 96.11),0.0,0.33%
Mean MAP (0-24 hours) (mmHg) (Med & IQR),,75.21  (70.36 - 81.38),75.52  (70.93 - 81.5),75.18  (70.29 - 81.37),0.0022,0.02%
Mean MAP (0-4 hours) (mmHg) (Med & IQR),,76.8  (70.46 - 84.17),77.75  (71.75 - 84.49),76.67  (70.25 - 84.11),0.0,0.35%
Vasopressor use (0-4 hours),,58.8%,63.0%,58.3%,0.0,0.0%
SOFA Score (0-24 hours) (Med & IQR),,8.0  (6.0 - 11.0),7.0  (5.0 - 10.0),8.0  (6.0 - 11.0),0.0,58.9%
SOFA Score (0-4 hours) (Med & IQR),,7.0  (4.0 - 9.0),6.0  (4.0 - 8.0),7.0  (4.0 - 9.0),0.0,82.57%
SOFA Score (-20-4 hours) (Med & IQR),,7.0  (4.0 - 10.0),6.0  (4.0 - 8.0),7.0  (5.0 - 10.0),0.0,71.98%
Minimum RASS (0-24 hours) (Med & IQR),,-4.0  (-5.0 - -3.0),-4.0  (-5.0 - -3.0),-4.0  (-5.0 - -3.0),0.00037,10.72%
Minimum Glasgow Coma Scale (0-24 hours) (Med & IQR),,15.0  (14.0 - 15.0),15.0  (14.0 - 15.0),15.0  (14.0 - 15.0),0.00127,0.21%
Hours of oversedation (0-24 hours) (Med & IQR),,5.0  (0.0 - 15.0),4.0  (0.0 - 12.0),5.0  (0.0 - 15.0),0.0,0.0%
CAM-ICU Positive (0-24 hours),,67.9%,64.0%,68.3%,0.0,0.0%
Paralytics for 4 hours (0-24 hours),,1.5%,1.1%,1.5%,0.10695,0.0%
Max Braden Mobility Scale (0-24 hours) (Med & IQR),,3.0  (2.0 - 3.0),3.0  (2.0 - 3.0),3.0  (2.0 - 3.0),0.0,0.97%
Max Braden Mobility Scale (-24 hours ICU discharge) (Med & IQR),,3.0  (2.0 - 3.0),3.0  (2.0 - 3.0),3.0  (2.0 - 3.0),0.0,3.55%
Time to First PT Order after IMV (hours) (Med & IQR),,6.92  (2.97 - 122.3),4.45  (2.1 - 7.72),2168.1  (317.56 - 16732.97),0.0,84.99%
PT order ever after IMV,,15.0%,100.0%,4.9%,nan,0.0%
PT order withint 48 hours after IMV,,10.6%,100.0%,nan%,nan,0.0%
PT order placed after IMV but before ICU admission,,0.0%,0.5%,nan%,nan,0.0%
PT order within 24 hours prior to IMV,,0.00%,0.00%,0.00%,N/A,0.0%
Time to Yellow Eligibility after IMV (hours) (Med & IQR),,4.0  (4.0 - 4.0),4.0  (4.0 - 4.0),4.0  (4.0 - 4.0),0.0024,1.84%
Time to Yellow Eligibility (2 hours) after IMV (hours) (Med & IQR),,5.0  (5.0 - 5.0),5.0  (5.0 - 5.0),5.0  (5.0 - 5.0),0.00146,2.71%
Hours of Yellow Eligibility (0-24 hours) (Med & IQR),,18.0  (15.0 - 20.0),19.0  (16.0 - 20.0),18.0  (15.0 - 20.0),0.0,0.0%
Hours of Yellow Eligibility (24-48 hours) (Med & IQR),,20.0  (8.0 - 24.0),21.0  (8.0 - 24.0),20.0  (8.0 - 24.0),0.17696,0.0%
Hours of Yellow Eligibility (48-72 hours) (Med & IQR),,17.0  (0.0 - 23.0),17.0  (0.0 - 23.0),17.0  (0.0 - 23.0),0.43738,0.0%
Two Consecutive Hours of Eligibility (0-72 hours),,97.3%,99.5%,97.0%,0.0,0.0%
Yellow Eligibility Ever,,98.2%,99.7%,98.0%,0.0,0.0%
Yellow Eligibility within 48 hours after IMV,,98.1%,99.7%,98.0%,0.0,0.0%
Extubated at the Time of PT Order,,5.2%,14.1%,4.2%,0.0,0.0%
IMV to Extubation (hours) (Med & IQR),,28.0  (10.44 - 111.0),20.0  (7.52 - 84.0),30.0  (11.0 - 113.0),0.0,0.0%
Ventilator Free Days (28-day) (Med & IQR),,26.21  (5.51 - 27.54),27.12  (21.25 - 27.71),26.04  (1.02 - 27.5),0.0,0.0%
Total intubation count during hospitalization (Med & IQR),,1.0  (1.0 - 1.0),1.0  (1.0 - 1.0),1.0  (1.0 - 1.0),0.34765,0.0%
Reintubation Rate,,12.8%,12.6%,12.9%,0.67126,0.0%
Overall Hospital Length of Stay (days) (Med & IQR),,7.95  (4.77 - 15.41),7.3  (5.09 - 13.89),8.02  (4.71 - 15.64),0.25878,0.0%
Post-IMV Hospital Length of Stay (days) (Med & IQR),,7.34  (4.33 - 14.28),7.04  (4.94 - 13.08),7.43  (4.27 - 14.49),0.34023,0.0%
Discharge Disposition
,Expired,20.4%,12.2%,21.4%
,Home,39.5%,42.5%,39.1%
,Rehabilitation,27.4%,35.3%,26.5%
,Other,10.6%,8.3%,10.8%
,Hospice,1.7%,1.4%,1.7%
,Missing,0.4%,0.2%,0.4%, 0.0,0.0%
