,time_bin,index,index,index,index,bin_start,bin_start,bin_start,bin_start,bin_end,bin_end,bin_end,bin_end,death,death,death,death,icu_out,icu_out,icu_out,icu_out,pt_consult,pt_consult,pt_consult,pt_consult,hr_mean,hr_mean,hr_mean,hr_mean,map_mean,map_mean,map_mean,map_mean,fio2_set_mean,fio2_set_mean,fio2_set_mean,fio2_set_mean,peep_set_mean,peep_set_mean,peep_set_mean,peep_set_mean,RASS_min,RASS_min,RASS_min,RASS_min
,,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing
0,-4,0,208754.0,417508,0.0,-4,-4.0,-4,0.0,0,0.0,0,0.0,0.0,0.00024908926736619236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003736339010492885,1.0,0.0,0.0,89.55406915590474,184.5,44.95,0.0,81.22019006102474,195.0,47.93,0.21,0.4942034933022517,0.99,56.11,0.0,4.855410945397557,26.0,0.0,-5.0,-2.4520150456743686,4.0,71.03
1,0,1,208755.0,417509,0.0,0,0.0,0,0.0,4,4.0,4,0.0,0.0,0.002677709624186568,1.0,0.0,0.0,3.1136158420774045e-05,1.0,0.0,0.0,0.07345019771460597,1.0,0.0,0.0,84.76001744109453,174.5,0.29,24.0,77.7844141599468,163.75,0.3,0.21,0.49841317187642015,0.99,6.76,0.0,5.364615216198801,30.0,0.0,-5.0,-3.37656383557386,4.0,19.86
2,12,4,208758.0,417512,0.0,12,12.0,12,0.0,16,16.0,16,0.0,0.0,0.027275274776598062,1.0,0.0,0.0,0.031447520004981785,1.0,0.0,0.0,0.13799545412087055,1.0,0.0,0.0,84.60121817468516,172.5,0.13,0.0,75.24718219657572,166.25,0.13,0.21,0.4272959808057888,0.99,1.33,0.0,3.827502971767865,30.0,0.0,-5.0,-1.8330999719966397,4.0,11.05
3,16,5,208759.0,417513,0.0,16,16.0,16,0.0,20,20.0,20,0.0,0.0,0.034561135847059186,1.0,0.0,0.0,0.0547062303453,1.0,0.0,0.0,0.14073543606189867,1.0,0.0,0.0,84.48631524315765,177.66666666666666,0.08,0.0,75.69324836851148,166.25,0.09,0.21,0.41545212305185597,0.99,1.2,0.0,3.427853369451277,28.0,0.0,-5.0,-1.6332160646487164,4.0,10.61
4,20,6,208760.0,417514,0.0,20,20.0,20,0.0,24,24.0,24,0.0,0.0,0.04060155058068936,1.0,0.0,0.0,0.10237568888750506,1.0,0.0,0.0,0.1425101970918828,1.0,0.0,0.0,84.31958917837545,166.5,0.01,0.0,75.96283849211368,166.25,0.02,0.21,0.40670489357171347,0.99,1.13,0.0,3.1186674388176097,30.0,0.0,-5.0,-1.5075212784436338,4.0,10.37
5,24,7,208761.0,417515,0.0,24,24.0,24,0.0,28,28.0,28,0.0,0.0,0.046206059096428685,1.0,0.0,0.0,0.16723230687797738,1.0,0.0,0.0,0.1440670050129215,1.0,0.0,0.0,84.37860947503667,212.5,0.01,0.0,76.0985158661076,166.25,0.02,0.21,0.4011788423404992,0.99,1.08,0.0,2.9229219950271106,28.0,0.0,-5.0,-1.4277037345550465,4.0,10.29
6,28,8,208762.0,417516,0.0,28,28.0,28,0.0,32,32.0,32,0.0,0.0,0.05059625743375782,1.0,0.0,0.0,0.21810878973752218,1.0,0.0,0.0,0.14531245134975246,1.0,0.0,0.0,84.37980547077164,213.07692307692307,0.01,0.0,76.24794976312664,166.25,0.02,0.21,0.39766652506817707,0.99,1.05,0.0,2.783222640583462,30.0,0.0,-5.0,-1.3580298300381548,4.0,10.23
7,32,9,208763.0,417517,0.0,32,32.0,32,0.0,36,36.0,36,0.0,0.0,0.05408350717688452,1.0,0.0,0.0,0.24367157580097767,1.0,0.0,0.0,0.14609085531027183,1.0,0.0,0.0,84.34247774088463,166.5,0.01,0.0,76.50023208863628,166.25,0.01,0.21,0.394613850356376,0.99,1.03,0.0,2.6685003178377933,30.0,0.0,-5.0,-1.3221120510331439,4.0,10.19
8,36,10,208764.0,417518,0.0,36,36.0,36,0.0,40,40.0,40,0.0,0.0,0.05850484167263443,1.0,0.0,0.0,0.26275804091291216,1.0,0.0,0.0,0.1468381231123704,1.0,0.0,0.0,84.49572690630548,172.0,0.01,0.0,76.86557452893305,166.25,0.01,0.21,0.39252967674162115,0.99,1.02,0.0,2.510624324456563,30.0,0.0,-5.0,-1.2836746716567904,4.0,10.15
9,4,2,208756.0,417510,0.0,4,4.0,4,0.0,8,8.0,8,0.0,0.0,0.01254787184357194,1.0,0.0,0.0,0.005448827723635458,1.0,0.0,0.0,0.11909580595946072,1.0,0.0,0.0,84.45496856744384,177.0,0.22,0.0,75.90233597943873,166.25,0.23,0.21,0.4624551543719461,0.99,2.48,0.0,4.862168088053666,30.0,0.0,-5.0,-2.4607497363923936,4.0,14.37
10,40,11,208765.0,417519,0.0,40,40.0,40,0.0,44,44.0,44,0.0,0.0,0.06224118068312732,1.0,0.0,0.0,0.2917458044026528,1.0,0.0,0.0,0.14758539091446898,1.0,0.0,0.0,84.53355425267432,170.75,0.01,0.0,77.13761786910135,191.0,0.01,0.21,0.38986080004194196,0.99,1.02,0.0,2.3952984842591594,30.0,0.0,-5.0,-1.2429848264394097,4.0,10.12
11,44,12,208766.0,417520,0.0,44,44.0,44,0.0,48,48.0,48,0.0,0.0,0.06591524737677865,1.0,0.0,0.0,0.3310707724880904,1.0,0.0,0.0,0.14811470560762213,1.0,0.0,0.0,84.43672571021803,170.0,0.01,0.0,77.21331225847102,191.0,0.01,0.21,0.38719991822099203,0.99,1.01,0.0,2.3045231390889453,30.0,0.0,-5.0,-1.2079927967862585,4.0,10.09
12,8,3,208757.0,417511,0.0,8,8.0,8,0.0,12,12.0,12,0.0,0.0,0.019833732914033068,1.0,0.0,0.0,0.018121244200890493,1.0,0.0,0.0,0.1336363919419622,1.0,0.0,0.0,84.64359428104585,178.25,0.16,0.0,75.29492168781172,166.25,0.17,0.21,0.44122193925994246,0.99,1.62,0.0,4.252526148548283,30.0,0.0,-5.0,-2.0734794908062235,4.0,11.95
