,time_bin,index,index,index,index,bin_start,bin_start,bin_start,bin_start,bin_end,bin_end,bin_end,bin_end,death,death,death,death,icu_out,icu_out,icu_out,icu_out,pt_consult,pt_consult,pt_consult,pt_consult,hr_mean,hr_mean,hr_mean,hr_mean,map_mean,map_mean,map_mean,map_mean,fio2_set_mean,fio2_set_mean,fio2_set_mean,fio2_set_mean,peep_set_mean,peep_set_mean,peep_set_mean,peep_set_mean,RASS_min,RASS_min,RASS_min,RASS_min,pressor_flag,pressor_flag,pressor_flag,pressor_flag,paralytics_flag,paralytics_flag,paralytics_flag,paralytics_flag,yellow_all,yellow_all,yellow_all,yellow_all,vent_flag,vent_flag,vent_flag,vent_flag
,,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing,min,mean,max,missing
0,-4,0,208754.0,417508,0.0,-4,-4.0,-4,0.0,0,0.0,0,0.0,0.0,0.00024908926736619236,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003736339010492885,1.0,0.0,0.0,89.55406915590474,184.5,44.95,0.0,81.22019006102474,195.0,47.93,0.21,0.4942034933022517,0.99,56.11,0.0,4.855410945397557,26.0,0.0,-5.0,-2.4520150456743686,4.0,71.03,0,0.591836099262073,1,0.0,0,0.0037674751689136593,1,0.0,0,0.0,0,0.0,1,1.0,1,0.0
1,0,1,208741.44694633904,417509,0.0,0,0.0,0,0.0,4,4.0,4,0.0,0.0,0.0024292254508081848,1.0,0.0,0.0,0.01999439409511352,1.0,0.0,0.0,0.07343735401289359,1.0,0.0,0.0,84.75759043253704,174.5,0.29,24.0,77.78594473593631,163.75,0.3,0.21,0.49841128993151207,0.99,6.75,0.0,5.364726823174922,30.0,0.0,-5.0,-3.3763553690101435,4.0,19.86,0,0.5814880563082002,1,0.0,0,0.016817714659441277,1,0.0,0,0.0,0,0.0,0,0.9938023607088355,1,0.0
2,12,4,208736.85559085134,417512,0.0,12,12.0,12,0.0,16,16.0,16,0.0,0.0,0.0075921219822109275,1.0,0.0,0.0,0.06575603557814486,1.0,0.0,0.0,0.14062897077509529,1.0,0.0,0.0,84.69933343840195,172.5,0.13,0.0,75.5678876740618,149.25,0.14,0.21,0.42592161451913413,0.99,0.75,0.0,3.8977418343160264,30.0,0.0,-5.0,-1.7884265696865975,4.0,10.91,0,0.4665501905972046,1,0.0,0,0.01667725540025413,1,0.0,0,0.6622299872935197,1,0.0,0,0.6842121982210928,1,0.0
3,16,5,208829.24602285458,417513,0.0,16,16.0,16,0.0,20,20.0,20,0.0,0.0,0.007490157165263596,1.0,0.0,0.0,0.09000992285778305,1.0,0.0,0.0,0.14436157613392658,1.0,0.0,0.0,84.63573846145515,177.66666666666666,0.08,0.0,76.16996243343064,156.75,0.09,0.21,0.41324427869154867,0.99,0.54,0.0,3.515648240026461,28.0,0.0,-5.0,-1.5644884535640238,4.0,10.46,0,0.43177235043692586,1,0.0,0,0.01581255401555648,1,0.0,0,0.6757786242437822,1,0.0,0,0.6068627764796262,1,0.0
4,20,6,208932.01573838165,417514,0.0,20,20.0,20,0.0,24,24.0,24,0.0,0.0,0.006256651723804302,1.0,0.0,0.0,0.14016189892604897,1.0,0.0,0.0,0.1471280678556455,1.0,0.0,0.0,84.50686766548918,164.75,0.01,8.5,76.57323655202579,149.0,0.01,0.21,0.4036308498135278,0.98,0.43,0.0,3.2211084206524925,30.0,0.0,-5.0,-1.4126881488666163,4.0,10.22,0,0.4001677040668236,1,0.0,0,0.016544651207791788,1,0.0,0,0.6683652078562905,1,0.0,0,0.541393878801561,1,0.0
5,24,7,208875.23866549833,417515,0.0,24,24.0,24,0.0,28,28.0,28,0.0,0.0,0.005841690195696621,1.0,0.0,0.0,0.2114691850842177,1.0,0.0,0.0,0.1494499075065719,1.0,0.0,0.0,84.62063153843596,212.5,0.01,0.0,76.8195935604433,147.5,0.01,0.21,0.397289071233977,0.99,0.33,0.0,3.0329131334486217,28.0,0.0,-5.0,-1.3111456226524125,4.0,10.14,0,0.36734495180605586,1,0.0,0,0.014571771654821018,1,0.0,0,0.6396326225943595,1,0.0,0,0.49884788887807097,1,0.0
6,28,8,208828.88254496784,417516,0.0,28,28.0,28,0.0,32,32.0,32,0.0,0.0,0.004602879247869944,1.0,0.0,0.0,0.26794633238664184,1.0,0.0,0.0,0.15137270264094277,1.0,0.0,0.0,84.64637117952083,213.07692307692307,0.01,0.0,77.10461157860709,151.0,0.01,0.21,0.39304436042641877,0.99,0.27,0.0,2.9043654951942584,30.0,0.0,-5.0,-1.2207499909246016,4.0,10.07,0,0.34022132993830184,1,0.0,0,0.014037149479319689,1,0.0,0,0.6002023961087716,1,0.0,0,0.4716155779714687,1,0.0
7,32,9,208842.151547947,417517,0.0,32,32.0,32,0.0,36,36.0,36,0.0,0.0,0.0036730945821854912,1.0,0.0,0.0,0.29489702216974945,1.0,0.0,0.0,0.1525974025974026,1.0,0.0,0.0,84.62168166906834,164.2,0.01,0.0,77.47726905768205,155.5,0.01,0.21,0.38934678437741943,0.95,0.24,0.0,2.7958445288817746,30.0,0.0,-5.0,-1.1684590426889285,4.0,10.04,0,0.31962481962481964,1,0.0,0,0.012167125803489439,1,0.0,0,0.5787091696182606,1,0.0,0,0.44979010888101795,1,0.0
8,36,10,208848.4349572087,417518,0.0,36,36.0,36,0.0,40,40.0,40,0.0,0.0,0.00467412771560237,1.0,0.0,0.0,0.3164911125740619,1.0,0.0,0.0,0.15375246872942724,1.0,0.0,0.0,84.79872204426121,172.0,0.01,0.0,77.9281644283947,148.0,0.01,0.21,0.3868109818997469,0.98,0.21,0.0,2.6386511332643656,30.0,0.0,-5.0,-1.116872668763256,4.0,9.99,0,0.3023699802501646,1,0.0,0,0.012310730743910467,1,0.0,0,0.5684990125082291,1,0.0,0,0.42676102699144175,1,0.0
